requirement_id,requirement,verification,status,design_artifact,test_ids,evidence
SYS-001,Receive and index exactly two bottles,Review + deterministic simulation where applicable,Implemented in reviewable sources; native Siemens verification blocked,04_controls_siemens/scl/FB_MachineCoordinator.scl,TC-001; TC-002; TC-003,normal and missing-bottle traces
SYS-002,Confirm both bottle positions before filling,Review + deterministic simulation where applicable,Implemented in reviewable sources; native Siemens verification blocked,04_controls_siemens/scl/FB_MachineCoordinator.scl,TC-002; TC-003; TC-004; TC-005,bottle-sensor fault traces
SYS-003,Stop conveyor before clamp engagement,Review + deterministic simulation where applicable,Implemented in reviewable sources; native Siemens verification blocked,04_controls_siemens/scl/FB_MachineCoordinator.scl,TC-001; TC-015,normal and conveyor-fault traces
SYS-004,Confirm gate and clamp feedback without contradiction,Review + deterministic simulation where applicable,Implemented in reviewable sources; native Siemens verification blocked,04_controls_siemens/scl/FB_Actuator2Pos.scl,TC-006; TC-007; TC-008,actuator timeout/contradiction traces
SYS-005,Zero and accumulate two independent high-speed pulse totals,Review + deterministic simulation where applicable,Implemented in reviewable sources; native Siemens verification blocked,04_controls_siemens/scl/FB_FillChannel.scl; 04_controls_siemens/scl/DB_Global.scl,TC-009; TC-010,no-pulse and pulse/analog traces; native TM Count binding remains open
SYS-006,Start common pump only with both fill paths permissive,Review + deterministic simulation where applicable,Implemented in reviewable sources; native Siemens verification blocked,04_controls_siemens/scl/FB_CellMain.scl,TC-014; TC-016; TC-017,pump/utilities fault traces
SYS-007,Close each fail-closed valve independently at target,Review + deterministic simulation where applicable,Implemented in reviewable sources; native Siemens verification blocked,04_controls_siemens/scl/FB_FillChannel.scl,TC-001; TC-012; TC-013,"normal, overfill and valve-close traces"
SYS-008,Scale and diagnose two 4–20 mA flow channels,Review + deterministic simulation where applicable,Implemented in reviewable sources; native Siemens verification blocked,04_controls_siemens/scl/FB_FillChannel.scl; 10_schedules/plc_io.csv,TC-010,pulse/analog disagreement trace; native AI diagnostics remain open
SYS-009,"Detect no-flow, leakage, overfill, underfill and channel disagreement",Review + deterministic simulation where applicable,Implemented in reviewable sources; native Siemens verification blocked,04_controls_siemens/scl/FB_FillChannel.scl,TC-009; TC-010; TC-011; TC-012; TC-013,five fill-fault traces
SYS-010,Apply configurable drip-settle time,Review + deterministic simulation where applicable,Implemented in reviewable sources; native Siemens verification blocked,04_controls_siemens/scl/FB_CellMain.scl; 04_controls_siemens/scl/FB_RecipeManager.scl,TC-001,normal trace includes drip-settle state
SYS-011,Trigger vision using a monotonic inspection ID,Review + deterministic simulation where applicable,Implemented in reviewable sources; native Siemens verification blocked,04_controls_siemens/scl/FB_VisionInterface.scl,TC-001; TC-024,normal and stale-ID traces
SYS-012,Correlate result ID and reject stale or contradictory results,Review + deterministic simulation where applicable,Implemented in reviewable sources; native Siemens verification blocked,04_controls_siemens/scl/FB_VisionInterface.scl,TC-023; TC-024,vision timeout and stale-ID traces
SYS-013,"Hold product on missing, uncertain, failed or low-confidence vision result",Review + deterministic simulation where applicable,Implemented in reviewable sources; native Siemens verification blocked,04_controls_siemens/scl/FB_VisionInterface.scl,TC-022; TC-023; TC-025; TC-026; TC-027,vision uncertainty/failure traces
SYS-014,Transfer only when process and quality acceptance are both true,Review + deterministic simulation where applicable,Implemented in reviewable sources; native Siemens verification blocked,04_controls_siemens/scl/FB_MachineCoordinator.scl,TC-001; TC-022; TC-025; TC-026,normal release and quality-hold traces
SYS-015,"Exchange ready, busy, request, complete and fault with capper",Review + deterministic simulation where applicable,Implemented in reviewable sources; native Siemens verification blocked,04_controls_siemens/scl/FB_CapperInterface.scl,TC-018; TC-019; TC-020,capper not-ready/busy/fault traces
SYS-016,Prevent unintended restart following power or control recovery,Review + deterministic simulation where applicable,Implemented in reviewable sources; native Siemens verification blocked,04_controls_siemens/scl/OB100_Startup.scl; 04_controls_siemens/scl/FB_MachineCoordinator.scl,TC-029; TC-030; TC-031,power-loss/restoration/reset traces
SYS-017,"Provide Auto, Manual/Setup, Holding, Controlled Stop, Fault and Recovery states",Review + deterministic simulation where applicable,Implemented in reviewable sources; native Siemens verification blocked,04_controls_siemens/scl/00_types.scl; 04_controls_siemens/scl/FB_MachineCoordinator.scl,TC-001; TC-031; TC-032,normal/recovery/manual traces
SYS-018,"Separate commands, feedbacks, permissives, interlocks, faults, warnings and diagnostics",Review + deterministic simulation where applicable,Implemented in reviewable sources; native Siemens verification blocked,04_controls_siemens/scl/00_types.scl; 04_controls_siemens/scl/FB_CellMain.scl,VAL-D-STATIC,automated_validation_report.md source/data checks
SYS-019,Monitor external safety status only; standard PLC and AI are not safety functions,Review + deterministic simulation where applicable,Implemented in reviewable sources; native Siemens verification blocked,04_controls_siemens/scl/FB_CellMain.scl; 00_project_control/design_basis.md,TC-029; SAFETY-OPEN,power-loss trace; qualified safety validation remains blocked
SYS-020,Provide first-out fault capture and separate alarm acknowledgement from reset,Review + deterministic simulation where applicable,Implemented in reviewable sources; native Siemens verification blocked,04_controls_siemens/scl/FB_AlarmManager.scl; 10_schedules/alarms.csv,TC-006; TC-009; TC-014; TC-020,first-out fault traces across equipment classes
SYS-021,Provide permission-controlled HMI commands with feedback and disabled reason,Review + deterministic simulation where applicable,Implemented in reviewable sources; native Siemens verification blocked,04_controls_siemens/scl/FB_HMICommandManager.scl; 05_hmi/hmi_specification.md,TC-021; TC-032,HMI-loss and manual-interlock traces
